feature,mean_abs_shap
RAVLT_IMMEDIATE,2.5389322628672097
MH10GAST,2.2417846811767435
ADASQ4,2.1764199915867475
BCURNDIS,2.03049217224483
PTTLANG,1.9742017247498147
ECOGPTTOTAL,1.9386370092894192
PXGENAPP,1.9323832993264691
NXFINGER,1.9138696136163036
BCABDOMN,1.8930397424661418
RAVLT_FORGETTING,1.861456424241575
PXEDEMA,1.8458781817382046
NXGAIT,1.817233134665952
BCDPMOOD,1.7570259276518003
MH14ALCH,1.7437402870006766
PXHEADEY,1.7265356108415488
MH7DERM,1.7260437697453792
PTPLANG,1.714674162146155
PXPERIPH,1.6877598858235112
BCHDACHE,1.6841544244325306
NXVISUAL,1.6729928628679198
NXAUDITO,1.6709253176386678
TRABSCOR,1.6685600123368889
VSRESP,1.6600586667466102
FAQ,1.6328246906255177
PXHEART,1.6259605220325675
BCOTHER,1.6172930677743398
PTNOTRT,1.6160743376159656
PTDOBYY,1.60523310251417
DIGITSCOR,1.602169024315384
ECOGSPORGAN,1.6016891140716503
FHQDAD,1.5998799693959438
BCELMOOD,1.5996733115323394
MOCA,1.5956506166315936
ECOGSPVISSPAT,1.588135004903387
BCBREATH,1.578160225412618
MH11HEMA,1.5713843723082344
BCWANDER,1.5470164181464263
MH19OTHR,1.5365958260585615
ECOGPTPLAN,1.510189267779075
NXMOTOR,1.5056521595657912
LDELTOTAL,1.5011226797483046
PXABDOM,1.4922524519002964
ECOGSPPLAN,1.4869731952679264
BCCRYING,1.4822755946665447
NXPLANTA,1.4709729619595981
PTMARRY,1.4684617140379084
NXCONSCI,1.4617197640882829
FHQMOMAD,1.4512975111301287
BCDIZZY,1.4091306098616203
BCVISION,1.4011791871001575
MH5RESP,1.390355976777501
BCCONSTP,1.3820319463381854
NXHEEL,1.3741557666373057
ECOGPTLANG,1.37244996777894
FHQMOM,1.368729674081955
BCDIARRH,1.3670323668436293
CDRSB,1.3546180449809133
BCANKLE,1.3501135257558028
PXEXTREM,1.3400229356917246
RAVLT_PERC_FORGETTING,1.3377224399597136
PXOTHER,1.3360440239324074
ECOGPTDIVATT,1.3342612189579295
NXTREMOR,1.3310310689190235
MH9ENDO,1.3209668060519049
MH15DRUG,1.313465494491529
MH8MUSCL,1.3081818890715673
PXBACK,1.30629059391408
BCINSOMN,1.2978386772665202
BCFALL,1.2976912436647552
NPISCORE,1.2926839007560869
PTRACCAT,1.2833451906124795
PXCHEST,1.277821103730099
ECOGSPLANG,1.2743063332834657
BCDROWSY,1.266182484035641
NXSENSOR,1.2647375684590514
PTETHCAT,1.2563852299259668
MPACCTRAILSB,1.2526138748520363
GDTOTAL,1.2524351977259385
ADAS11,1.2464826845750123
MMSE,1.2398066595821011
PTHAND,1.2338953867700557
FHQSIB,1.2276839245470261
NXTENDON,1.2229559037845645
VSBPDIA,1.221336737679845
PTGENDER,1.1949908739807638
BCSWEATN,1.1881305396345814
PXMUSCUL,1.1846133596960358
ECOGSPDIVATT,1.1759854904327163
MH17MALI,1.1737436015949099
VSTEMP-C,1.1418254172730091
PXNECK,1.127209708118231
MHPSYCH,1.1142311085140053
ECOGPTMEM,1.1048076275358285
VSPULSE,1.1032901080825257
BCMUSCLE,1.0989516093627745
BCCHEST,1.0947188758860487
MH3HEAD,1.0938306948914562
ECOGSPMEM,1.0841744255076473
MH13ALLE,1.083490135066855
MH4CARD,1.0809191126373052
PXSKIN,1.073446738334205
APOE4,1.0712350819674334
FHQDADAD,1.0667521882646325
BCCOUGH,1.0661224769093767
BCDRYMTH,1.0512229647681934
ADAS13,1.0502472248320827
RAVLT_LEARNING,1.0460474711263512
VSBPSYS,1.0452423309331118
ECOGSPTOTAL,1.0397232064530748
VSHEIGHT-cm,1.0260356201069292
ECOGPTVISSPAT,1.025561362083049
BCNAUSEA,1.0147201344294303
MH18SURG,1.0011421590956133
BCPALPIT,0.9821193818374079
MH2NEURL,0.9784275881804442
MH6HEPAT,0.97556615160493
NXOTHER,0.968035187571393
MH12RENA,0.958594703558613
PTHOME,0.9343349044763783
NXNERVE,0.8967325434006551
BCURNFRQ,0.8967291506755747
BCENERGY,0.8834549160276447
ECOGPTORGAN,0.882435467382585
PTEDUCAT,0.8695170653055712
MH16SMOK,0.8157654315186705
VSWEIGHT-kg,0.8065317753388218
BCVOMIT,0.7963866308971075
BCRASH,0.7932925747683739
MPACCDIGIT,0.766065272262178
HMSCORE,0.706598855352348
